athleteId,Name,Coach,season,teamId,conference_level,NBA_Probability,Actual_NBA,oneYears,prev_NBA_Probability,NBA_Prob_Change,High_Transfer,Actual_Transfer,prev_High_Transfer,Transfer_Prob_Change,Team,Actually Entered,Predicted to Enter,Probability of Entering,eventually_NBA,Coach_ID,conference,color
1.0,Chaney Johnson,Bruce Pearl,2023,16,P5,0.0107182526353219,0.0,1.0,0.0,0.0107182526353219,,,,,auburn,0.0,0.0,0.2245997083631431,0,16_Bruce_Pearl,SEC,#f58025
2.0,Dylan Cardwell,Bruce Pearl,2021,16,P5,0.01,0.0,0.0,0.0,0.01,,,,,auburn,0.0,0.0,0.071,0,16_Bruce_Pearl,SEC,#f58025
2.0,Dylan Cardwell,Bruce Pearl,2022,16,P5,0.002,0.0,0.0,0.01,-0.008,,,,,auburn,0.0,0.0,0.2367613559322034,0,16_Bruce_Pearl,SEC,#f58025
2.0,Dylan Cardwell,Bruce Pearl,2023,16,P5,0.0109576092381616,0.0,0.0,0.002,0.0089576092381616,,,,,auburn,0.0,0.0,0.13,0,16_Bruce_Pearl,SEC,#f58025
3.0,Chad Baker-Mazara,Brian Dutcher,2021,257,Other,0.011,0.0,1.0,0.0,0.011,0.0238786342720186,0.0,0.0,0.0238786342720186,san diego state,1.0,0.0,0.2022090050163333,0,257_Brian_Dutcher,Mountain West,#A81933
3.0,Chad Baker-Mazara,Bruce Pearl,2023,16,P5,0.3956717456949832,0.0,0.0,0.011,0.3846717456949832,,,,,auburn,0.0,0.0,0.1507701301037232,0,16_Bruce_Pearl,SEC,#f58025
4.0,Denver Jones,Jeremy Ballard,2021,89,Other,0.0009807204615224,0.0,1.0,0.0,0.0009807204615224,0.1784337452857018,0.0,0.0,0.1784337452857018,florida international,0.0,1.0,0.6322014345597702,0,89_Jeremy_Ballard,CUSA,#c79d1f
4.0,Denver Jones,Jeremy Ballard,2022,89,Other,0.0018416518927721,0.0,0.0,0.0009807204615224,0.0008609314312496,0.84613099869578,1.0,0.1784337452857018,0.6676972534100781,florida international,1.0,1.0,0.7707354427347209,0,89_Jeremy_Ballard,CUSA,#c79d1f
4.0,Denver Jones,Bruce Pearl,2023,16,P5,0.0029059997347784,0.0,0.0,0.0018416518927721,0.0010643478420062,,,,,auburn,0.0,0.0,0.101,0,16_Bruce_Pearl,SEC,#f58025
5.0,Miles Kelly,Josh Pastner *,2021,101,P5,0.0,0.0,1.0,0.0,0.0,,,,,georgia tech,0.0,0.0,0.2008772794480039,0,101_Josh_Pastner_*,ACC,#b09465
5.0,Miles Kelly,Josh Pastner *,2022,101,P5,0.0406184054987975,0.0,0.0,0.0,0.0406184054987975,,,,,georgia tech,0.0,1.0,0.356,0,101_Josh_Pastner_*,ACC,#b09465
5.0,Miles Kelly,Damon Stoudamire,2023,101,P5,0.0607400172011589,0.0,0.0,0.0406184054987975,0.0201216117023613,,,,,georgia tech,1.0,0.0,0.194,0,101_Damon_Stoudamire,ACC,#b09465
6.0,Ja'Heim Hudson,Rob Lanier,2021,100,Other,0.0,0.0,1.0,0.0,0.0,0.0490735905280113,0.0,0.0,0.0490735905280113,georgia state,0.0,0.0,0.1296142261183925,0,100_Rob_Lanier,Sun Belt,#005dab
6.0,Ja'Heim Hudson,Jonas Hayes,2022,100,Other,0.0,0.0,0.0,0.0,0.0,0.1108143888444737,0.0,0.0490735905280113,0.0617407983164624,georgia state,1.0,1.0,0.3756321031185429,0,100_Jonas_Hayes,Sun Belt,#005dab
6.0,Ja'Heim Hudson,Rob Lanier,2023,248,Other,0.0,0.0,0.0,0.0,0.0,0.6390875893220777,1.0,0.1108143888444737,0.5282732004776038,smu,1.0,0.0,0.169873858172634,0,248_Rob_Lanier,American,#e51932
